topics,topn,ranker,model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
antique,topn1,bm25,seq2seq,100,4.0890891397346225,0.6345847456855868,"2.5383389411638846,4.1450901333848365e-08,1.2038134379080574e-10,7.179506712925133e-12",0.0,4.4480519480519485,1142.0756723880768
antique,topn1,bm25,acg,100,73.78707668245002,37.16137940637826,"47.577501131483494,40.144975581422294,33.59619394148613,27.32684697112112",33.33333333333333,75.02040648350717,3362.6776056289673
antique,topn1,bm25,hredqs,100,2.79624863760732,0.3686975188955998,"1.474790044157293,3.131908223361532e-08,9.952543934588639e-11,6.498524608194978e-12",0.0,2.592592592592593,986.2413895130156
antique,topn1,qld,seq2seq,100,1.3867625342078795,0.6389197411472992,"2.5556789295022346,3.49950749857156e-08,8.73598705471988e-11,4.5273906614516586e-12",0.0,1.4932983682983685,841.406816482544
antique,topn1,qld,acg,100,41.24949352914784,3.217632421559029,"6.590724165983246,3.468840930118539,1.9248887639708014,0.8860758261635311",0.0,44.717048738567506,1797.1365242004395
antique,topn1,qld,hredqs,100,4.725654592964831,2.708772012673865,"6.7603547685503935,2.546186302248547,1.528327790713235,0.00021918918328519857",0.0,4.956941206941207,570.1192884445189
antique,topn100,bm25,seq2seq,100,55.18701690484161,36.46796558077532,"48.676391139898065,38.23372385570614,31.91934462552688,27.042402701970193",26.171875,57.242874125452545,9374.5051510334
antique,topn100,bm25,acg,100,70.39830457027615,44.12774890421234,"53.65885092699534,46.06219042923864,40.81833102865839,35.971623231957004",42.96875,71.88217439275591,37621.13398361206
antique,topn100,bm25,hredqs,100,78.39983901402053,44.92056185682739,"49.54710847286245,45.83211249969382,43.25795145879528,41.04507499595802",59.765625,80.07808047021494,4450.523214578629
antique,topn100,qld,seq2seq,100,59.637771374112546,40.782918805576074,"50.13861929485547,42.696814565042075,37.45442050506255,32.84182085734423",38.54166666666667,61.43129201394911,3381.218587398529
antique,topn100,qld,acg,100,74.59079443594776,52.29219091758228,"60.65129622785007,54.056716102134175,49.327783166201556,45.13296817414327",51.5625,76.87519976931773,17653.020263910294
antique,topn100,qld,hredqs,100,76.75894953270023,51.119043691537655,"59.15038615293964,52.873420821181696,48.3551540238852,44.09721376814409",61.45833333333334,78.88031487668427,3487.180443048477
antique,topn5,bm25,seq2seq,100,57.28571978274578,47.91135720644893,"53.518578597916125,49.06038120751492,45.822818629105164,43.243650391259536",40.27777777777778,58.14302722235018,4052.495535850525
antique,topn5,bm25,acg,100,88.06131261394306,69.79710020586644,"75.35140403187998,71.48842848334654,68.04645135900775,64.30211694923152",77.08333333333334,88.69760432395724,17682.530663490295
antique,topn5,bm25,hredqs,100,89.94550456620055,72.91408257659003,"79.40816801165771,74.75542570572333,70.79389356390847,66.69884302507066",79.8611111111111,91.14324826221564,2324.803087472916
